variable_2141,variable_1224,variable_1587,variable_2161,variable_1582,variable_93,variable_2013,variable_455,variable_3
15.986641984327099,11.7763986847485,22.727159450891104,12.7495998508723,23.1935800544589,20.466637557803,13.9732904366204,14.9011017747157,19.761785523414602
16.890235642567,12.490521549676366,22.852765816241998,13.3322737110497,23.309318680791,20.274990793660916,13.532489343924901,13.742696702284501,19.7352793066033
16.1500085743843,12.8894345460045,22.14196785414969,13.4846984424343,22.1401400321506,20.119204788639397,13.701980844691805,14.2487960606114,19.1160762432186
15.8883342202516,12.406618016338001,22.9467397537423,12.342480571826599,23.1529431902759,20.525966889299,13.764643634505902,14.2376553816024,19.3768753582851
15.2011242645978,13.1834490297211,22.1071580135925,12.8697701195395,22.374462007561693,20.0794824492931,12.445936440918699,15.256830038617695,19.5559381039549
16.0088507990586,12.091062123039901,22.4453758418928,12.4570622885411,23.5012154736125,20.1127103232693,13.9712222227349,14.749194370773699,19.377437207857398
15.9539489912768,12.311150877886801,22.4228084476794,13.0963467578437,22.6958372985007,20.161577839310397,13.997996587743001,14.1699235663622,19.5265682410312
15.927152863506599,12.606057232075237,22.23296095133211,13.009248959012899,23.0240778328865,20.018347112453,12.953412558487802,14.6352226776967,19.349325855146105
15.181591040719097,13.4287115164343,23.3489908860118,12.5727734093609,22.835619259984497,20.040712390483698,13.3575927490061,14.063626231780301,19.610237252658802
15.634900801246701,12.395101377406002,23.027402485818506,12.6431686932902,23.1527618003534,20.0099221311402,13.455948314264695,14.362222280929599,19.409256643865604
15.978389448506901,11.739985541861,22.3655148979767,11.735885233151,22.6004205198659,20.3478072616849,13.2553792588967,15.016441521034801,19.4589855624585
15.987533378174698,12.543098074796275,22.8626228881883,13.046001259785099,23.630004445936603,20.1562843778293,13.3294979176479,14.9721173948878,19.4171232839671
16.5378714304208,11.8369227855096,22.684612261677106,13.429478428666801,23.275412059693107,19.8798621794808,13.8200385279679,14.436781195640199,19.4567563656518
16.3246986583924,11.8603879021877,22.8975108673037,13.1314018143832,23.2480420167626,20.3064562013245,13.420554202743098,14.443391615894999,19.7930483638328
15.5385976718359,12.681957287317013,22.499635843373603,12.802498973085765,22.6897033922754,20.1778931008816,12.593689598614302,14.4178434001702,19.4522723564202
16.1339423335517,13.3972564707392,23.5884707563456,12.5715270598667,23.240698606846102,20.4663712701883,13.1549920018872,13.6343637077408,19.6718548691677
15.268957724932802,12.136645021529901,23.1189686436518,12.520842495466338,22.802356814507604,20.0550381504023,12.918163518982,13.986377464334,19.5879917654175
15.395088375607,12.766308874253362,21.898055286617303,12.701285588780088,22.642549575157197,20.144325119698202,13.4222364728347,14.522065578487501,19.089602515393103
15.447914612081599,12.269698982376498,22.203189295501105,12.2509880325195,21.956222416635494,20.3282800467344,12.9756186772844,16.6283661669332,20.589677721826106
15.6932272315672,12.529482506079404,22.0743172891804,12.431284790890501,22.431650355202198,20.3004335611484,13.743993485089801,15.4578324486163,19.216410107128
15.307392035607801,12.651508946654118,22.5326875207585,12.359697616678801,22.8601815778376,20.3284494805862,13.546334573361195,13.757188474770901,19.470591558650803
16.1150102743618,12.609416102201113,22.834064501447397,13.045178647701,22.921792292617106,20.465023387961303,13.834834774115699,14.3154004491257,19.73765872015069
15.981802797818801,12.3394826142834,22.3669126832661,13.351756061439199,23.094029553648,20.2063912550263,13.044587185676804,14.424329839242,19.4642613875533
16.4779828420622,12.5482620413339,22.68267336596449,13.559623663835401,22.6907020158887,20.1902782723808,13.633784662989699,13.9367471925176,19.3804876100696
16.0431358356317,12.2525915307301,23.117606125640002,13.592122662859099,23.5077435255682,20.510812335531106,13.5578809234838,13.9556441563082,19.6901671059428
15.742817867197699,12.2893161474237,22.979725784537106,13.1554167811049,23.861005255199398,20.4187989982194,12.609780929535804,14.5327808789499,19.6203994183635
15.0646657627773,12.962615175029399,22.114754398537997,12.69226558209538,23.142982084346198,20.0930147956756,13.114113123407648,14.2631516359776,18.9766765758652
15.4733102123099,12.392343524116487,22.9125332905548,12.066812989756697,23.566096112859203,20.2324033127889,13.7433616832004,14.6794436673752,19.2936879329225
16.0904034593316,12.447542744607599,22.8854213587604,12.78410818987415,23.290706798429397,20.3753215717255,12.8774140480216,14.6325532494689,19.2897098091334
15.0571516734356,13.1855918470222,22.8872231046314,13.3448047482154,23.226088068429398,20.0981457257588,12.5746553567254,14.9905907883024,19.3076786184739
15.419308356905901,12.5414400934809,22.054624431752305,12.6546530277017,22.7433102598204,20.2422695245712,13.638188158543,14.587658535620198,19.5749269339142
14.6005781580128,12.222349448760399,20.6898400827078,12.419234433219302,21.5912284689807,19.987021827098104,12.915503531084077,15.5848359744635,19.6251729823982
16.3585699883092,12.750912878716107,23.2608677518439,13.2943041617691,23.37723096018411,20.3235383049943,13.1783295451623,12.922169294012,19.50857721670189
15.5987408852665,12.978654384474401,22.397223955269,13.6067935520944,23.0496255519041,20.161657765845302,12.3917969452912,14.753348909139099,19.391549519454202
16.5084724609986,12.585881961370765,23.011898588592402,13.448125202652,23.5195918544733,19.881680362722,13.576664918111101,13.697658459654301,19.5834166348064
15.723766576328401,12.799232597311875,23.0289573275003,13.0016651681181,23.339352953716997,20.1968133336935,12.6624182904989,13.7780729920185,19.145332158523
15.735531848155599,12.782379349107813,22.833311332982397,13.5453777484921,23.1242087681963,20.0231150708133,13.8627572285637,14.3955195031099,19.7509326168762
15.547569422681999,13.099486123682599,22.0083151625683,13.171609702562805,22.7687141429496,19.7462971953673,12.341539776271805,14.9967249580915,18.9368664461794
16.2076544035885,11.9605462288537,22.147212259640398,12.710753884547131,22.382000451556,20.147781014280397,13.6641621398042,14.526647293751,19.732651298628106
15.1040864927034,12.402829731657805,21.799437859082197,12.587911125699902,22.269170334844603,20.2188012135568,12.724793602189,14.9067393016892,19.2082919610404
15.7603128351251,13.010027237549501,21.987055195615696,12.7674099308846,22.5785346882372,20.5183924211716,13.563635813596498,14.118156926378601,19.531483433791
15.910904202694097,12.741908637413399,22.226131733576693,12.514238131782598,22.8929537964303,20.0685729972607,13.4974904109708,14.1584221784062,19.180283867326697
15.2054770755394,12.55425346872865,22.559488081966,12.61471495066532,22.720236925930802,19.9573859752137,13.9430453112559,14.5842011664782,19.8270245822177
15.5119059945001,11.9981101267118,22.4253013960383,12.3458081420964,22.7527409555517,20.064499134918602,13.669106522734001,14.3295173986632,19.7257662049023
15.618216572741499,11.7789626864758,23.226676182309397,12.2346642815046,23.4139177081149,20.1910391582628,12.383853313119399,14.8551483845839,18.7353634419565
